브랜드,제품명,검색 순위,쿠팡 판매가,쿠팡 판매가 단위별 가격,와우 할인가,와우 할인가 단위별 가격,상품평 수
마니커,"마니커 IQF 닭고기 가슴살 (냉동), 3kg, 1개",48,"29,700원",(100g당 990원),"28,200원",(100g당 940원),"27,978개"
,"모던푸드 국내산 냉동 닭가슴살 1kg 무염 생닭가슴살, 1kg, 1개",49,"5,700원",,없음,,57개
,"참프레 동물복지 인증 IQF 닭가슴살 (냉동), 1kg, 2개",50,"19,200원",(100g당 960원),없음,,95개
,"풀토래_냉장 닭안심 5kg_국내산, 5kg, 1개",51,"28,890원",(100g당 578원),없음,,"2,866개"
,"냉동 생 닭가슴살 대용량 국내산 냉동닭가슴살 1kg 2kg 3kg 5kg 10kg, 냉동닭가슴살1kg1..., 1개",52,"5,700원",,없음,,60개
하림,"하림 IFF 가슴살, 1kg, 2개",53,"20,500원","(100g당 1,025원)",없음,,"6,006개"
,국내산 생 닭가슴살 헬스 냉장 냉동 1kg포장,54,"6,300원",,없음,,63개
올품,"올품 IQF 통 닭가슴살 1kg x 1봉, 1kg, 1개",55,"6,980원",,없음,,952개
올품,"올품 닭가슴살 진공팩 (냉장), 1kg, 2개",56,"22,110원","(100g당 1,106원)",없음,,731개
올품,"올품 닭가슴살 진공팩 (냉장), 1kg, 1개",57,"11,400원","(100g당 1,140원)",없음,,731개
하림IFF,"하림 IFF 닭가슴살 (냉동), 800g, 3개",58,"20,810원",(100g당 867원),없음,,3개
,닭가슴살(냉동) 친환경 2kg,59,"14,340원",,없음,,55개
,"[모던푸드] 무염 국내산 냉동 생 닭가슴살 2봉, 1kg, 2개",60,"14,800원",(100g당 740원),없음,,57개
,신선하닭 국내산 냉장 생닭가슴살 1Kg,61,"7,000원",,없음,,243개
,신선하닭 국내산 생 닭가슴살 5Kg,62,"31,000원",,없음,,107개
마니커,"마니커 1등급 닭가슴살 (냉장), 1kg, 2개",63,"22,400원","(100g당 1,120원)","19,400원",(100g당 970원),"1,791개"
목우촌,"목우촌 무항생제 인증 IQF 닭가슴살 (냉동), 1kg, 3개",64,"27,940원",(100g당 931원),"24,340원",(100g당 811원),"2,018개"
모디바,"모디바 국내산 냉동 생닭가슴살 1kgX3팩 3kg, 500g, 6개",65,"23,400원",,없음,,"3,762개"
,"풀토래_신선냉장 닭안심 2kg_국내산, 2kg, 1개",66,"13,890원",(100g당 695원),없음,,"2,866개"
하림,"하림 IFF 가슴살, 1kg(1개), 3개",67,"30,500원","(100g당 1,017원)",없음,,"6,006개"
,"하림 무항생제 1등급 냉장 생 닭가슴살 1kg, 통(100g), 1개",68,"9,200원",,없음,,109개
gomgom,"곰곰 1등급 닭가슴살 (냉장), 1kg, 2개",69,"22,230원","(100g당 1,112원)",없음,,"3,474개"
,생닭가슴살 국내산 닭가슴살 냉장 무염닭가슴살,70,"9,800원",(100g당 980원),없음,,0개
,푸르델리 냉동 생 닭가슴살 (1kg) 1팩,71,"6,100원",,"5,500원",,100개
,"푸르델리 냉동 생 닭가슴살(500g) 10팩 5kg, 500g, 10개",72,"32,000원",(100g당 640원),"28,800원",(100g당 576원),587개
하림,"하림 IFF 가슴살, 3kg, 1개",73,"33,000원","(100g당 1,100원)",없음,,"6,006개"
,"모던푸드 국내산 냉동 닭가슴살 1kg 무염 생닭가슴살, 1kg, 1개",74,"5,700원",,없음,,57개
,"푸르델리 냉동 생 닭가슴살(120g) 개별진공포장 25팩 3kg, 120g, 25개",75,"28,880원",(100g당 963원),"27,340원",(100g당 911원),587개
모디바,"모디바 국내산 냉동 닭가슴살( 1kgX2팩), 1kg, 2개",76,"15,200원",(100g당 760원),"13,950원",(100g당 698원),"3,762개"
,"풀토래_신선냉장 닭가슴살_국내산, 1kg, 1개",77,"8,280원",,"7,860원",,"9,899개"
하림,"하림 IFF 가슴살, 1kg, 1개",78,"8,300원",,없음,,"6,006개"
